site,location,aru_id,date,hour,start,end,scientific_name,common_name,confidence,filepath
Midgic,NB38-06,12,20170611,04,36,39,Chordeiles minor,Common Nighthawk,0.9571,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_040000.wav
Midgic,NB38-06,12,20170611,04,39,42,Chordeiles minor,Common Nighthawk,0.9551,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_040000.wav
Midgic,NB38-06,12,20170611,04,42,45,Chordeiles minor,Common Nighthawk,0.9312,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_040000.wav
Midgic,NB38-06,12,20170611,05,990,993,Botaurus lentiginosus,American Bittern,0.6788,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,1044,1047,Botaurus lentiginosus,American Bittern,0.6493,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,1158,1161,Botaurus lentiginosus,American Bittern,0.9481,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,1200,1203,Botaurus lentiginosus,American Bittern,0.7112,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,1203,1206,Botaurus lentiginosus,American Bittern,0.5749,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,1257,1260,Botaurus lentiginosus,American Bittern,0.6296,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,1488,1491,Botaurus lentiginosus,American Bittern,0.6379,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,2049,2052,Botaurus lentiginosus,American Bittern,0.7242,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,2406,2409,Botaurus lentiginosus,American Bittern,0.6844,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,2514,2517,Porzana carolina,Sora,0.7763,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,2949,2952,Botaurus lentiginosus,American Bittern,0.8272,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,05,3381,3384,Botaurus lentiginosus,American Bittern,0.7802,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_050000.wav
Midgic,NB38-06,12,20170611,06,354,357,Chlidonias niger,Black Tern,0.8039,E:\Birds Canada east\focal species analysis\Midgic_NB38-06_12\MMP-POPA12_20170611_060000.wav
